Index,Quantity,Part Number,Description,Customer Reference,Available Quantity,Backorder Quantity,Unit Price USD,Extended Price USD
1,2,SW322-ND,SWITCH ROCKER SPST 16A 125V,,2,0,1.03,2.06
2,6,987-1398-ND,ENCODER 11MM ROTARY SW TOP ADJ,,6,0,1.22,7.32
3,2,576-1518-5-ND,IC REG BUCK 5V 3A TO220-5,,2,0,1.84,3.68
4,2,PTV09A-4030U-B204-ND,POT 200K OHM 1/20W CARBON LINEAR,,2,0,0.83,1.66
5,3,PIC24FJ256GA702-I/SP-ND,IC MCU 16-BIT 256KB FLASH 28SDIP,,3,0,2.1,6.3
6,2,LM6172IN/NOPB-ND,IC OPAMP VFB 100MHZ 8DIP,,2,0,3.82,7.64
7,4,493-14344-1-ND,CAP ALUM 10UF 10% 16V RADIAL,,4,0,0.3,1.2
8,4,399-9858-1-ND,CAP CER 10000PF 50V X7R RADIAL,,4,0,0.26,1.04
9,18,BC1084CT-ND,CAP CER 0.1UF 50V X7R RADIAL,,18,0,0.154,2.77
10,2,296-1411-5-ND,IC OSC SINGLE TIMER 100KHZ 8-DIP,,2,0,0.44,0.88
11,2,CF14JT47K0CT-ND,RES 47K OHM 1/4W 5% AXIAL,,2,0,0.1,0.2
12,4,CF12JT5K60CT-ND,RES 5.6K OHM 1/2W 5% AXIAL,,4,0,0.1,0.4
13,2,445-173115-1-ND,CAP CER 22UF 16V X7R RADIAL,,2,0,0.86,1.72
14,2,493-15344-ND,CAP ALUM 220UF 10% 10V RADIAL,,2,0,0.53,1.06
15,4,RLB0914-331KL-ND,FIXED IND 330UH 600MA 760 MOHM,,4,0,0.32,1.28
16,12,1655-1005-ND,DIODE SCHOTTKY 15V TO220AC,,12,0,0.657,7.88
17,6,UKL1E101KPDANA-ND,CAP ALUM 100UF 10% 25V RADIAL,,6,0,0.51,3.06
18,2,493-14480-ND,CAP ALUM 330UF 10% 16V RADIAL,,2,0,0.78,1.56
19,4,490-8676-ND,CAP CER 2PF 50V NP0 RADIAL,,4,0,0.32,1.28
20,30,RNF14FTD20K0CT-ND,RES 20K OHM 1/4W 1% AXIAL,,30,0,0.0496,1.49
21,2,33KADCT-ND,RES 33K OHM 1/4W 0.1% AXIAL,,2,0,0.46,0.92
22,4,CF14JT10K0CT-ND,RES 10K OHM 1/4W 5% AXIAL,,4,0,0.1,0.4
23,30,20KADCT-ND,RES 20K OHM 1/4W 0.1% AXIAL,,30,0,0.268,8.04
24,2,1528-1394-ND,2.1MM DC BARREL PLUG TO ALLIGATR,,2,0,1.95,3.9
25,2,1568-1510-ND,DC BARREL JACK ADAPTER - FEMALE,,2,0,2.95,5.9
26,4,CF14JT330RCT-ND,RES 330 OHM 1/4W 5% AXIAL,,4,0,0.1,0.4
27,40,10KADCT-ND,RES 10K OHM 1/4W 0.1% AXIAL,,40,0,0.268,10.72
28,2,490-14506-ND,CAP CER 10UF 25V X7S RADIAL,,2,0,0.71,1.42
29,2,CKN10706-ND,RM SERIES CAP-TYPE A-BLK,,2,0,0.34,0.68
